Year,Type of Crime,Date,Time,Latitude,Longitude,Location,Arrest
2017,OFFENSE INVOLVING CHILDREN,2/10/2018,3:50:00 PM,41.73058491,-87.63981761,RESIDENCE,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.74129311,-87.61303826,RESIDENCE,FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.66411347,-87.55805448,RESIDENCE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.88058694,-87.70611017,GOVERNMENT BUILDING/PROPERTY,FALSE
2017,MOTOR VEHICLE THEFT,2/10/2018,3:50:00 PM,41.78252601,-87.66429316,SIDEWALK,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.72008003,-87.56686919,RESIDENCE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.87296355,-87.7536633,"SCHOOL, PUBLIC, BUILDING",FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.88378473,-87.73557853,RESIDENCE,TRUE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.82507141,-87.60574538,RESIDENTIAL YARD (FRONT/BACK),FALSE
2017,INTERFERENCE WITH PUBLIC OFFICER,2/10/2018,3:50:00 PM,41.88630055,-87.75528349,STREET,TRUE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.88000713,-87.67699987,STREET,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.8798933,-87.62772175,DEPARTMENT STORE,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.96855977,-87.69536369,PARKING LOT/GARAGE(NON.RESID.),FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.88518173,-87.67108211,STREET,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.93472293,-87.70871499,DRIVEWAY - RESIDENTIAL,FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,42.01849825,-87.67298323,CTA STATION,FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,42.01390341,-87.66662427,APARTMENT,FALSE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.66515022,-87.63591984,RESIDENCE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.94827959,-87.64951667,OTHER,TRUE
2017,THEFT,2/10/2018,3:50:00 PM,41.89002378,-87.65390649,APARTMENT,FALSE
2017,MOTOR VEHICLE THEFT,2/10/2018,3:50:00 PM,41.97185262,-87.65048914,STREET,FALSE
2017,NARCOTICS,2/10/2018,3:50:00 PM,41.90356157,-87.72754763,APARTMENT,TRUE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.78995442,-87.64747635,RESIDENCE,FALSE
2017,OFFENSE INVOLVING CHILDREN,2/10/2018,3:50:00 PM,41.735005,-87.54998849,RESIDENCE,FALSE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.89110213,-87.65527601,RESIDENCE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.83367977,-87.6126455,STREET,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.88350019,-87.6278767,DEPARTMENT STORE,TRUE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.77322946,-87.5967377,APARTMENT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.86854191,-87.63923536,RESTAURANT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.81200675,-87.6885744,RESIDENCE,FALSE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.94398296,-87.77271517,RESIDENCE,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.78334328,-87.71412429,RESIDENCE-GARAGE,FALSE
